customer_id,name,email,phone,country,city,registration_date
CUST35306686,Steven Ramirez,steven.ramirez1@example.com,+1-327-590-8099,Sweden,Unknown,2025-12-28 20:58:32.794066
CUST70714916,Kimberly Lewis,kimberly.lewis563@example.com,+1-577-939-5658,Brazil,Unknown,2026-02-11 20:58:32.794066
CUST20667728,Mark Wilson,mark.wilson283@example.com,+1-677-900-9868,United States,New York,2025-07-02 20:58:32.794066
CUST93236329,Donald Moore,donald.moore510@example.com,+1-954-166-2401,Australia,Perth,2026-02-19 20:58:32.794066
CUST58806179,David Sanchez,david.sanchez892@example.com,+1-519-195-8256,Italy,Unknown,2026-02-10 20:58:32.794066
CUST47740523,Daniel Thomas,daniel.thomas577@example.com,+1-174-824-2710,Australia,Brisbane,2025-01-10 20:58:32.794066
CUST99320749,Donald Brown,donald.brown49@example.com,+1-852-403-3774,India,Delhi,2025-12-02 20:58:32.794066
CUST67938622,Charles Clark,charles.clark350@example.com,+1-504-775-3022,Denmark,Unknown,2024-08-16 20:58:32.794066
CUST16460590,Jennifer Perez,jennifer.perez597@example.com,+1-587-140-2051,Australia,Perth,2025-12-31 20:58:32.794066
CUST90962805,Betty Thomas,betty.thomas854@example.com,+1-227-537-2562,Spain,Unknown,2025-10-11 20:58:32.794066
CUST86796307,Mark Hernandez,mark.hernandez457@example.com,+1-289-500-5076,South Korea,Unknown,2025-05-14 20:58:32.794066
CUST24437944,Kimberly Jackson,kimberly.jackson97@example.com,+1-976-203-3023,Japan,Unknown,2025-11-13 20:58:32.794066
CUST31044430,Michael Jackson,michael.jackson290@example.com,+1-195-745-3327,France,Marseille,2025-12-13 20:58:32.794066
CUST98357680,Steven Ramirez,steven.ramirez551@example.com,+1-142-426-2167,Denmark,Unknown,2025-11-25 20:58:32.794066
CUST36159902,Lisa Wilson,lisa.wilson38@example.com,+1-869-314-8254,Germany,Berlin,2024-11-13 20:58:32.794066
CUST57741872,Michael Garcia,michael.garcia807@example.com,+1-284-695-9676,France,Paris,2024-02-20 20:58:32.794066
CUST79213406,Anthony Thompson,anthony.thompson686@example.com,+1-135-934-2868,France,Lyon,2025-06-04 20:58:32.794066
CUST89215526,Joseph Martin,joseph.martin523@example.com,+1-409-545-2526,Spain,Unknown,2026-02-19 20:58:32.794066
CUST25357317,Sarah Lee,sarah.lee14@example.com,+1-595-978-1887,United States,Phoenix,2025-12-29 20:58:32.794066
CUST52660703,Barbara Williams,barbara.williams695@example.com,+1-720-300-6688,Brazil,Unknown,2025-04-09 20:58:32.794066
CUST36932919,Thomas Jones,thomas.jones408@example.com,+1-769-976-3312,Australia,Melbourne,2025-06-23 20:58:32.794066
CUST42924886,James Robinson,james.robinson115@example.com,+1-236-786-7821,Sweden,Unknown,2025-06-04 20:58:32.794066
CUST94409592,Mark Thompson,mark.thompson745@example.com,+1-436-159-3509,United Kingdom,Manchester,2025-11-16 20:58:32.794066
CUST42460283,Donald Anderson,donald.anderson728@example.com,+1-228-153-7355,Denmark,Unknown,2024-11-27 20:58:32.794066
CUST18346166,Patricia Moore,patricia.moore439@example.com,+1-936-940-3250,United Kingdom,London,2025-08-17 20:58:32.794066
CUST28486905,Linda Moore,linda.moore852@example.com,+1-616-373-1883,India,Bangalore,2025-07-10 20:58:32.794066
CUST19268956,David Rodriguez,david.rodriguez534@example.com,+1-577-481-6356,Australia,Adelaide,2025-11-03 20:58:32.794066
CUST25427270,Donna Ramirez,donna.ramirez817@example.com,+1-394-416-5504,Canada,Ottawa,2024-12-07 20:58:32.794066
CUST88163596,Jessica Sanchez,jessica.sanchez68@example.com,+1-597-412-2529,France,Toulouse,2025-09-02 20:58:32.794066
CUST92143822,Elizabeth Williams,elizabeth.williams264@example.com,+1-951-770-5887,Singapore,Unknown,2024-02-20 20:58:32.794066
CUST38477664,Joseph Brown,joseph.brown146@example.com,+1-892-902-2745,United Kingdom,Glasgow,2025-09-13 20:58:32.794066
CUST88927006,Mark Moore,mark.moore612@example.com,+1-194-928-3840,Italy,Unknown,2025-11-21 20:58:32.794066
CUST05604012,Ashley Davis,ashley.davis906@example.com,+1-706-669-5903,Sweden,Unknown,2025-10-04 20:58:32.794066
CUST84282549,Michael Miller,michael.miller123@example.com,+1-368-436-9051,Norway,Unknown,2025-11-18 20:58:32.794066
CUST56789840,Lisa Walker,lisa.walker460@example.com,+1-569-108-9709,Japan,Unknown,2025-06-26 20:58:32.794066
CUST72415203,Richard Wilson,richard.wilson226@example.com,+1-626-984-1897,India,Mumbai,2025-07-16 20:58:32.794066
CUST98250808,Patricia Jones,patricia.jones89@example.com,+1-832-390-9546,Germany,Hamburg,2024-02-20 20:58:32.794066
CUST74730103,Margaret Anderson,margaret.anderson709@example.com,+1-776-502-3713,Singapore,Unknown,2025-02-20 20:58:32.794066
CUST80549438,Jessica Brown,jessica.brown199@example.com,+1-969-858-6486,Spain,Unknown,2025-10-19 20:58:32.794066
CUST38601891,Steven Martinez,steven.martinez270@example.com,+1-422-542-5061,United Kingdom,Manchester,2025-01-26 20:58:32.794066
CUST90393537,John Thomas,john.thomas623@example.com,+1-937-427-5242,Sweden,Unknown,2025-10-17 20:58:32.794066
CUST25154439,Sandra Garcia,sandra.garcia86@example.com,+1-780-568-1949,Japan,Unknown,2026-02-03 20:58:32.794066
CUST51041524,Charles Moore,charles.moore965@example.com,+1-767-103-3361,Canada,Vancouver,2024-06-19 20:58:32.794066
CUST85404231,Christopher Wilson,christopher.wilson238@example.com,+1-300-329-3886,Australia,Perth,2025-10-19 20:58:32.794066
